Product,Positive%,Negative%
bilbao nightstand gray oak - south shore,100.0,0.0
mia shower curtain green/brown - lush decor174,100.0,0.0
greyson vintage industrial occasional cocktail coffee table - antique bronze - baxton studio,100.0,0.0
"burt's bees lip shimmer, watermelon",100.0,0.0
solo foods almond paste,100.0,0.0
clorox ultimate care premium bleach,100.0,0.0
plum organics just prunes,100.0,0.0
progresso traditional meatball & rice soup,100.0,0.0
sea gull lighting one light wall/bath/vanity-brushed nickel,100.0,0.0
herr's baked cheese curls,100.0,0.0
lynk professional174 pull out cutting board bakeware sliding cabinet organizer,100.0,0.0
bi-o-kleen spray & wipe all purpose cleaner,100.0,0.0
mrs. meyer's174 lemon verbena laundry scent booster - 18oz,100.0,0.0
"way basics 3-shelf eco narrow bookcase storage shelf, espresso - formaldehyde free - lifetime guarantee",100.0,0.0
weleda everon lip balm,100.0,0.0
happy tot apple and butternut squash,100.0,0.0
udi's pepperoni pizza,100.0,0.0
annie's homegrown deluxe elbows & four cheese sauce,100.0,0.0
wedding wishes wedding guest book,100.0,0.0
high-dome floor door stop,100.0,0.0
la tortilla factory hand made style tortillas flour,100.0,0.0
coola organic sunscreen classic face cucumber spf 30,100.0,0.0
stander pt bedcane - bed handle,100.0,0.0
lundberg organic cinnamon toast rice cakes,100.0,0.0
"smead174 recycled letter size manila file backs w/prong fasteners, 2 capacity, 100/box",100.0,0.0
gain original scent liquid fabric softener 129 oz,100.0,0.0
"iman luxury moisturizing lipstick, black brandy 006",100.0,0.0
meguiars interior detailer wipes 25ct,100.0,0.0
elvis presley - girl happy (cd),100.0,0.0
planes: fire rescue (2 discs) (includes digital copy) (blu-ray/dvd),98.16,1.84
stargate (ws) (ultimate edition) (director's cut) (dvdvideo),97.31,2.69
cars toon: mater's tall tales,97.06,2.94
sopranos:season 6 part 1 (blu-ray),97.06,2.94
l'or233al paris elvive extraordinary clay rebalancing conditioner - 12.6 fl oz,96.96,3.04
my big fat greek wedding 2 (blu-ray + dvd + digital),96.71,3.29
"storkcraft tuscany glider and ottoman, beige cushions, espresso finish",96.59,3.41
red (special edition) (dvdvideo),96.58,3.42
tresemme kertatin smooth infusing conditioning,96.49,3.51
boraam sonoma kitchen cart with wire brush gray - maaya home,96.3,3.7
delta single handle shower faucet,95.83,4.17
pantene pro-v expert collection age defy conditioner,95.59,4.41
"avery174 ready index contemporary table of contents divider, 1-8, multi, letter",95.53,4.47
hawaiian punch berry limeade blast juice,95.45,4.55
"l'oreal paris visible lift smooth absolute, natural buff",95.45,4.55
tostitos simply blue corn tortilla chips,95.24,4.76
cuisinart174 electric juicer - stainless steel cje-1000,95.15,4.85
100:complete first season (blu-ray),94.96,5.04
there's something about mary (dvd),94.62,5.38
jason aldean - they don't know,94.61,5.39
kraus fvs-1007 single hole vessel bathroom faucet from the ramus collection,94.59,5.41
"banana boat sunless summer color self tanning lotion, light to medium",94.44,5.56
"pantene color preserve volume shampoo, 25.4oz",94.44,5.56
godzilla 3d includes digital copy ultraviolet 3d/2d blu-ray/dvd,94.2,5.8
kind dark chocolate chunk gluten free granola bars - 5 count,94.12,5.88
clorox disinfecting bathroom cleaner,94.11,5.89
clorox disinfecting wipes value pack scented 150 ct total,93.83,6.17
vaseline intensive care healthy hands stronger nails,93.75,6.25
hoover174 platinum collection153 lightweight bagged upright vacuum with canister - uh30010com,93.37,6.63
eagle fat free sweetened condensed milk,93.33,6.67
mrs. meyer's lemon verbena surface scrub,93.33,6.67
"aussie aussome volume shampoo, 13.5 oz",93.26,6.74
various artists - choo choo soul (cd),93.1,6.9
head & shoulders classic clean conditioner,93.02,6.98
"neutrogena wet skin sunscreen spray broad spectrum spf 50, 5oz",92.86,7.14
"pleasant hearth 7.5 steel grate, 30 5 bar - black",92.59,7.41
olay regenerist deep hydration regenerating cream,92.59,7.41
"coty airspun face powder, translucent extra coverage",92.41,7.59
sabre 2 pack door and window alarm,92.31,7.69
"lundberg wehani rice, 25lb",91.99,8.01
"bounce dryer sheets, fresh linen, 160 sheets",91.95,8.05
"better built 74010862 bet74010862 60in crossover two lid, deep, truck tool box",91.67,8.33
clambake (dvd),91.67,8.33
"creme of nature intensive conditioning treatment, 32",91.67,8.33
"ben & jerry's coffee, coffee buzzbuzzbuzz! ice cream, pint",90.91,9.09
"physicians formula mineral wear talc-free mineral correcting powder, creamy natural",90.91,9.09
cheetos crunchy flamin' hot cheese flavored snacks,90.0,10.0
dark shadows (includes digital copy) (ultraviolet) (dvdvideo),89.88,10.12
the script - no sound without silence (cd),89.74,10.26
yes to grapefruit rejuvenating body wash,89.74,10.26
"caress moisturizing body bar natural silk, 4.75oz",89.71,10.29
bisquick original pancake and baking mix - 40oz,89.69,10.31
"lysol concentrate deodorizing cleaner, original scent",89.68,10.32
chex muddy buddies brownie supreme snack mix,89.66,10.34
"burt's bees lip shimmer, raisin",89.58,10.42
"l'oreal paris colour caresse wet shine stain, pink resistance",89.13,10.87
mike dave need wedding dates (dvd + digital),89.04,10.96
ogx anti-breakage keratin oil 3 minute miraculous recovery,88.89,11.11
vaseline intensive care lip therapy cocoa butter,88.61,11.39
"finish quantum dishwasher detergent, lemon sparkle scent, 45 count",88.57,11.43
"australian gold exotic blend lotion, spf 4",88.24,11.76
alex cross (dvdvideo),87.94,12.06
sc johnson one step no buff wax,87.5,12.5
baxter of california cream pomade,87.5,12.5
barielle nail rebuilding protein,87.5,12.5
"finish gelpacs dishwasher detergent, orange scent, 84ct",87.5,12.5
spam single classic,87.5,12.5
sizzix framelits dies 1by tim holtz bird crazy-silver asst sizes,87.5,12.5
"shea moisture mango & carrot kids extra-nourishing conditioner, 8fl oz",87.5,12.5
stacy's simply naked bagel chips,87.5,12.5
clear scalp & hair therapy total care nourishing shampoo,87.37,12.63
axe dry anti-perspirant deodorant invisible solid phoenix,86.44,13.56
tostitos bite size tortilla chips,86.36,13.64
the resident evil collection 5 discs (blu-ray),86.15,13.85
windex original glass cleaner refill 67.6oz (2 liter),85.92,14.08
"cetaphil gentle skin cleanser, 2oz",85.71,14.29
scooby doo and the loch ness monster (blu-ray),85.71,14.29
"physicians formula powder palette mineral glow pearls, translucent pearl",85.71,14.29
switchmas (dvd),85.71,14.29
chester's cheese flavored puffcorn snacks,85.31,14.69
the honest company laundry detergent,85.0,15.0
l'oreal paris advanced hairstyle boost it high lift creation spray,84.85,15.15
orajel maximum strength toothache pain relief liquid,84.78,15.22
power crunch protein energy bar peanut butter creme original,84.62,15.38
metzeler me888 marathon ultra custom touring front tire 100/90-19,84.62,15.38
equals (blu-ray),84.62,15.38
"pendaflex174 divide it up file folder, multi section, letter, assorted, 12/pack",84.19,15.81
"suave professionals hair conditioner, sleek",84.0,16.0
hollywood beauty olive cholesterol,83.33,16.67
head & shoulders dandruff shampoo ocean lift 2 in 1,83.33,16.67
"weathertech 40647 14-15 outlander cargo liners behind 2nd row, black",83.33,16.67
4c grated parmesan cheese 100% natural 8oz shaker,83.33,16.67
0.6 cu. ft. letter a4 size waterproof 30 min. fire file chest,83.33,16.67
kendall comforter and sheet set (twin) aqua - 7pc,83.33,16.67
progresso traditional chicken tuscany soup,83.33,16.67
africa's best no-lye dual conditioning relaxer system super,83.33,16.67
bedtime originals pinkie musical mobile,83.33,16.67
soothing touch lemon cardamom vegan lip balm .25 oz,83.33,16.67
"hormel chili, no beans",82.65,17.35
chips ahoy! original chocolate chip - cookies - family size 18.2oz,82.61,17.39
"tree hut shea body butters, coconut lime, 7 oz",82.14,17.86
ragu roasted garlic parmesan pasta sauce,81.82,18.18
"all,bran complete wheat flakes, 18 oz.",81.82,18.18
trend lab park nursing cover - paisley,81.82,18.18
holmes174 personal indoor heater w/ manual controls white 1500w hfh131-n,81.25,18.75
ragu traditional pasta sauce,81.08,18.92
"just for men touch of gray gray hair treatment, black t-55",80.8,19.2
fiskars174 classic stick rotary cutter (45 mm),80.0,20.0
"newman's own balsamic vinaigrette, 16.0oz",80.0,20.0
cerave sa renewing cream,80.0,20.0
"kikkoman soy sauce, 5fl oz",80.0,20.0
kind nut delight bar,80.0,20.0
wagan smartac 80watt inverter with usb,80.0,20.0
"super poligrip denture adhesive cream, ultra fresh - 2.4 oz",79.17,20.83
diet canada dry ginger ale - 12pk/12 fl oz cans,79.07,20.93
"johnson's baby bubble bath and wash, 15oz",78.57,21.43
bumble bee solid white albacore in water - 5 oz,77.78,22.22
arrid extra dry anti-perspirant deodorant spray regular,77.78,22.22
honeywell heatbud ceramic heater black,77.78,22.22
queen helene cocoa butter solid,77.78,22.22
maranatha no stir raw maple almond butter,76.47,23.53
chobani174 strawberry on the bottom non-fat greek yogurt - 5.3oz,76.0,24.0
toy story kids' woody accessory kit,75.0,25.0
little bedding by nojo jungle dreams 2 pack sheet set,75.0,25.0
nature's path flax plus maple pecan crunch cereal,75.0,25.0
home health hairever shampoo,75.0,25.0
"simple green all-purpose cleaner, 16oz",75.0,25.0
if a man answers (dvd),75.0,25.0
post bound jumbo album - burgundy (11x14),75.0,25.0
"beanitos bean chips, simply pinto bean",75.0,25.0
solo foods poppy seed cake and pastry filling,75.0,25.0
"bridgestone 130/70zr18m/c(63w)front exedra g851, cruiser radl",72.73,27.27
"aveeno baby continuous protection lotion sunscreen with broad spectrum spf 55, 4oz",71.88,28.12
annie's homegrown gluten free double chocolate chip granola bars,71.43,28.57
tai pei sweet & sour chicken,70.0,30.0
meguiar's deep crystal car wash 64-oz.,70.0,30.0
l'oreal paris advanced hairstyle txt it hyper-fix putty,69.57,30.43
olay moisturizing lotion for sensitive skin,66.67,33.33
olivella bar soap - 3.52 oz,66.67,33.33
lay's salt & vinegar flavored potato chips,66.67,33.33
"newman's own organics licorice twist, black 5oz",66.67,33.33
progresso light vegetable & noodle soup,66.67,33.33
"vicks vaporub, regular, 3.53oz",65.62,34.38
feit 60-watt a19 gu24 base led light bulb - soft white,62.5,37.5
moom express pre waxed strips for face & bikini,60.0,40.0
plano mini-magnum 13-compartment tackle box,60.0,40.0
nexxus exxtra gel style creation sculptor,58.87,41.13
"musselman apple sauce, cinnamon, 48oz",57.14,42.86
k-y love sensuality pleasure gel,55.56,44.44
black front loading frame set (8.5x11) set of 12,55.56,44.44
2017-2018 brownline174 duraflex 14-month planner 8 1/2 x 11 black,50.0,50.0
calvin klein secret obsession eau de parfum,50.0,50.0
"smead174 3-in-1 supertab section folders, 1/3 cut top tab, letter, assorted, 12/pack",50.0,50.0
cococare 100% natural castor oil,33.33,66.67
5302050 15/16 fct/hose adaptor,0.0,100.0
"heinz tomato ketchup, 38oz",0.0,100.0
pocket watch wall clock distressed black - yosemite home decor174,0.0,100.0
lite source reiko 1 light table lamp - orange,0.0,100.0
scotty mini double ended extender,0.0,100.0
"sloan royal urinal flush valve, 1.0 gpf, royal 186-1",0.0,100.0
sunflower swag with metal frame - nearly natural,0.0,100.0
kenroy home table lamp - chrome,0.0,100.0
stonyfield yobaby peach & pear yogurt 4oz 6 ct,0.0,100.0
nearly natural pothos ledge plant (set on foam) silk plant,0.0,100.0
"wallmount server cabinet (450mm, 9 ru)",0.0,100.0
